id,text,finding,label
train_001,Pneumonia was confirmed after two days of cough; no pulmonary embolism was identified.,pneumonia,present
train_002,"Imaging demonstrates pneumonia with tachycardia in triage, with no evidence of DVT.",pneumonia,present
train_003,The report documents pneumonia following overnight observation; Pleural effusion is absent.,pneumonia,present
train_004,"Assessment notes pneumonia on contrast-enhanced CT, negative for pneumothorax.",pneumonia,present
train_005,Pneumonia was confirmed with oxygen saturation of 93%; no consolidation was identified.,pneumonia,present
train_006,"Imaging demonstrates pneumonia in the emergency department, with no evidence of atelectasis.",pneumonia,present
train_007,The report documents pneumonia with a history of cancer; Cardiomegaly is absent.,pneumonia,present
train_008,"Assessment notes pneumonia while receiving inpatient care, negative for fracture.",pneumonia,present
train_009,Pneumonia was confirmed with pleuritic symptoms; no malignancy was identified.,pneumonia,present
train_010,"Imaging demonstrates pneumonia during workup for leg pain, with no evidence of fever.",pneumonia,present
train_011,The report documents pneumonia after outpatient referral; Edema is absent.,pneumonia,present
train_012,"Assessment notes pneumonia with worsening shortness of breath, negative for effusion.",pneumonia,present
train_013,Pneumonia was confirmed on discharge summary review; no infiltrate was identified.,pneumonia,present
train_014,"Imaging demonstrates pneumonia during evaluation for chest pain, with no evidence of pulmonary embolism.",pneumonia,present
train_015,The report documents pulmonary embolism while receiving inpatient care; Pleural effusion is absent.,pulmonary embolism,present
train_016,"Assessment notes pulmonary embolism with pleuritic symptoms, negative for pneumothorax.",pulmonary embolism,present
train_017,Pulmonary embolism was confirmed during workup for leg pain; no consolidation was identified.,pulmonary embolism,present
train_018,"Imaging demonstrates pulmonary embolism after outpatient referral, with no evidence of atelectasis.",pulmonary embolism,present
train_019,The report documents pulmonary embolism with worsening shortness of breath; Cardiomegaly is absent.,pulmonary embolism,present
train_020,"Assessment notes pulmonary embolism on discharge summary review, negative for fracture.",pulmonary embolism,present
train_021,Pulmonary embolism was confirmed during evaluation for chest pain; no malignancy was identified.,pulmonary embolism,present
train_022,"Imaging demonstrates pulmonary embolism after a fall at home, with no evidence of fever.",pulmonary embolism,present
